"";"title";"artist";"artist_bio";"artist_birth_year";"artist_death_year";"num_artists";"n_female_artists";"n_male_artists";"artist_gender";"year_acquired";"year_created";"circumference_cm";"depth_cm";"diameter_cm";"height_cm";"length_cm";"width_cm";"seat_height_cm";"purchase";"gift";"exchange";"classification";"department"
"15";"The Voice";"Barnett Newman";"(American, 1905-1970)";1905;1970;1;0;1;"Male";1968;1950;NA;NA;NA;244,1;NA;268;NA;FALSE;FALSE;FALSE;"Painting";"Painting & Sculpture"
"16";"Plums on a Plate";"Preston Dickinson";"(American, 1889-1930)";1889;1930;1;0;1;"Male";1931;1926;NA;NA;NA;35,6;NA;50,8;NA;FALSE;TRUE;FALSE;"Painting";"Painting & Sculpture"
"17";"Composition in White, Black, and Red";"Piet Mondrian";"(Dutch, 1872-1944)";1872;1944;1;0;1;"Male";1937;1936;NA;NA;NA;102,2;NA;104,1;NA;FALSE;TRUE;FALSE;"Painting";"Painting & Sculpture"
"18";"Girl before a Mirror";"Pablo Picasso";"(Spanish, 1881-1973)";1881;1973;1;0;1;"Male";1937;1932;NA;NA;NA;162,3;NA;130,2;NA;FALSE;TRUE;FALSE;"Painting";"Painting & Sculpture"
"19";"Transparency";"James Edward Davis";"(American, 1901-1974)";1901;1974;1;0;1;"Male";1945;1944;NA;NA;NA;35,6;NA;51,1;NA;TRUE;FALSE;FALSE;"Painting";"Painting & Sculpture"
"20";"Woman with a Mandolin";"Georges Braque";"(French, 1882-1963)";1882;1963;1;0;1;"Male";1948;1937;NA;NA;NA;130,2;NA;97,2;NA;FALSE;FALSE;FALSE;"Painting";"Painting & Sculpture"
"21";"The Fitting";"Francisco Borès";"(Spanish, 1898-1972)";1898;1972;1;0;1;"Male";1949;1934;NA;NA;NA;184,8;NA;220,4;NA;TRUE;FALSE;FALSE;"Painting";"Painting & Sculpture"
"22";"Murder in the Jungle";"Wilson Bigaud";"(Haitian, 1931-2010)";1931;2010;1;0;1;"Male";1951;1950;NA;NA;NA;60,6;NA;75,6;NA;FALSE;FALSE;FALSE;"Painting";"Painting & Sculpture"
"23";"Chief";"Franz Kline";"(American, 1910-1962)";1910;1962;1;0;1;"Male";1951;1950;NA;NA;NA;148,3;NA;186,7;NA;FALSE;TRUE;FALSE;"Painting";"Painting & Sculpture"
"24";"Panel for Edwin R. Campbell No. 3";"Vasily Kandinsky";"(French, born Russia. 1866-1944)";1866;1944;1;0;1;"Male";1954;1914;NA;NA;NA;162,5;NA;92,1;NA;FALSE;FALSE;FALSE;"Painting";"Painting & Sculpture"
"25";"Delight";"Hans Hofmann";"(American, born Germany. 1880-1966)";1880;1966;1;0;1;"Male";1956;1947;NA;NA;NA;126,9;NA;101,6;NA;FALSE;TRUE;FALSE;"Painting";"Painting & Sculpture"
"26";"Portrait of Jacob Meyer de Haan";"Paul Gauguin";"(French, 1848-1903)";1848;1903;1;0;1;"Male";1958;1889;NA;NA;NA;79,6;NA;51,7;NA;FALSE;TRUE;FALSE;"Painting";"Painting & Sculpture"
"27";"Nell and Jeremy Sandford";"John Randall Bratby";"(British, 1928-1992)";1928;1992;1;0;1;"Male";1959;1957;NA;NA;NA;197,7;NA;234;NA;FALSE;TRUE;FALSE;"Painting";"Painting & Sculpture"
"28";"Plumb Line in Yellow";"Jean McEwen";"(Canadian, 1923-1999)";1923;1999;1;0;1;"Male";1962;1961;NA;NA;NA;152,8;NA;152,7;NA;FALSE;TRUE;FALSE;"Painting";"Painting & Sculpture"
"29";"Woman in Striped Dress";"James Francis Gill";"(American, born 1934)";1934;NA;1;0;1;"Male";1963;1962;NA;NA;NA;101,4;NA;76,2;NA;FALSE;FALSE;FALSE;"Painting";"Painting & Sculpture"
"30";"Small Figure on Blue";"Michael Gross";"(Israeli, 1920-2004)";1920;2004;1;0;1;"Male";1965;1964;NA;NA;NA;50,1;NA;40,3;NA;FALSE;TRUE;FALSE;"Painting";"Painting & Sculpture"
"31";"Red and Blue";"Check  Boterf";"(American, born 1934)";1934;NA;1;0;1;"Male";1969;1968;NA;96,8;NA;220,9;NA;118;NA;FALSE;TRUE;FALSE;"Painting";"Painting & Sculpture"
"32";"White #19";"Glenn Ligon";"(American, born 1960)";1960;NA;1;0;1;"Male";1996;1994;NA;NA;NA;213,4;NA;152,4;NA;FALSE;FALSE;FALSE;"Painting";"Painting & Sculpture"
"33";"House by the Railroad";"Edward Hopper";"(American, 1882-1967)";1882;1967;1;0;1;"Male";1930;1925;NA;NA;NA;61;NA;73,7;NA;FALSE;FALSE;FALSE;"Painting";"Painting & Sculpture"
"34";"Dr. Mayer-Hermann";"Otto Dix";"(German, 1891-1969)";1891;1969;1;0;1;"Male";1932;1926;NA;NA;NA;149,2;NA;99,0601981204;NA;FALSE;TRUE;FALSE;"Painting";"Painting & Sculpture"
"35";"Near Avenue A";"Niles Spencer";"(American, 1893-1952)";1893;1952;1;0;1;"Male";1937;1933;NA;NA;NA;76,8;NA;102,2;NA;FALSE;TRUE;FALSE;"Painting";"Painting & Sculpture"
"36";"Self-Portrait with Cropped Hair";"Frida Kahlo";"(Mexican, 1907-1954)";1907;1954;1;1;0;"Female";1943;1940;NA;NA;NA;40;NA;27,9;NA;FALSE;TRUE;FALSE;"Painting";"Painting & Sculpture"
"37";"Panel for Edwin R. Campbell No. 1";"Vasily Kandinsky";"(French, born Russia. 1866-1944)";1866;1944;1;0;1;"Male";1954;1914;NA;NA;NA;162,5;NA;80;NA;FALSE;FALSE;FALSE;"Painting";"Painting & Sculpture"
"38";"SUM, 2";"Alfonso Ossorio";"(American, born The Philipines. 1916-1990)";1916;1990;1;0;1;"Male";1961;1959;NA;NA;NA;243,2;NA;121,8;NA;FALSE;FALSE;FALSE;"Painting";"Painting & Sculpture"
"39";"Poltergeist";"Charles Hinman";"(American, born 1932)";1932;NA;1;0;1;"Male";1965;1964;NA;41,5;NA;250,7;NA;156,9;NA;FALSE;FALSE;FALSE;"Painting";"Painting & Sculpture"
"40";"Generative Painting: Black, Red, Orange";"Eduardo A. MacEntyre";"(Argentine, 1929-2014)";1929;2014;1;0;1;"Male";1967;1965;NA;NA;NA;164,9;NA;150,4;NA;FALSE;FALSE;FALSE;"Painting";"Painting & Sculpture"
"41";"Doorstop";"James Rosenquist";"(American, 1933-2017)";1933;2017;1;0;1;"Male";1996;1963;NA;42,5;NA;152,7;NA;213;NA;FALSE;TRUE;TRUE;"Painting";"Painting & Sculpture"
"42";"Seated Nude";"Bernard Karfiol";"(American, born Hungary. 1886-1952)";1886;1952;1;0;1;"Male";1930;1929;NA;NA;NA;101,6;NA;76,2;NA;FALSE;TRUE;FALSE;"Painting";"Painting & Sculpture"
"43";"Proletarian Victim";"David Alfaro Siqueiros";"(Mexican, 1896-1974)";1896;1974;1;0;1;"Male";1938;1933;NA;NA;NA;205,8;NA;120,6;NA;FALSE;TRUE;FALSE;"Painting";"Painting & Sculpture"
"44";"The Verdigris Goblet";"Emilio Pettoruti";"(Argentine, 1892-1971)";1892;1971;1;0;1;"Male";1943;1934;NA;NA;NA;54,9;NA;46;NA;FALSE;FALSE;FALSE;"Painting";"Painting & Sculpture"
"45";"Red Votive Lights";"Loren MacIver";"(American, 1909-1998)";1909;1998;1;1;0;"Female";1945;1943;NA;NA;NA;50,8;NA;65,1;NA;FALSE;FALSE;FALSE;"Painting";"Painting & Sculpture"
"46";"I See Again in Memory My Dear Udnie";"Francis Picabia";"(French, 1879-1953)";1879;1953;1;0;1;"Male";1954;1914;NA;NA;NA;250,2;NA;198,8;NA;FALSE;FALSE;FALSE;"Painting";"Painting & Sculpture"
"47";"Number 5-58";"Nassos Daphnis";"(American, born Greece. 1914-2010)";1914;2010;1;0;1;"Male";1959;1958;NA;NA;NA;162,7;NA;109,2;NA;FALSE;FALSE;FALSE;"Painting";"Painting & Sculpture"
"48";"Divided Hour";"Antonio Corpora";"(Italian, born Tunis. 1909-2004)";1909;2004;1;0;1;"Male";1960;1958;NA;NA;NA;145,9;NA;113,8;NA;FALSE;FALSE;FALSE;"Painting";"Painting & Sculpture"
"49";"Self-Portrait";"Vincent Canadé";"(American, 1879-1961)";1879;1961;1;0;1;"Male";1936;1926;NA;NA;NA;47,3;NA;35,6;NA;FALSE;TRUE;TRUE;"Painting";"Painting & Sculpture"
"50";"Edge of August";"Mark Tobey";"(American, 1890-1976)";1890;1976;1;0;1;"Male";1954;1953;NA;NA;NA;121,9;NA;71,1;NA;TRUE;FALSE;FALSE;"Painting";"Painting & Sculpture"
"51";"Enamored Tomcat";"Leonardo Cremonini";"(Italian, 1925-2010)";1925;2010;1;0;1;"Male";1955;1952;NA;NA;NA;58,7;NA;45,1;NA;TRUE;FALSE;FALSE;"Painting";"Painting & Sculpture"
"52";"Big Red";"Sam Francis";"(American, 1923-1994)";1923;1994;1;0;1;"Male";1958;1953;NA;NA;NA;303,2;NA;194;NA;FALSE;TRUE;FALSE;"Painting";"Painting & Sculpture"
"53";"The Tree";"Agnes Martin";"(American, born Canada. 1912-2004)";1912;2004;1;1;0;"Female";1965;1964;NA;NA;NA;182,8;NA;182,8;NA;FALSE;FALSE;FALSE;"Painting";"Painting & Sculpture"
"54";"Turnsole";"Kenneth Noland";"(American, 1924-2010)";1924;2010;1;0;1;"Male";1968;1961;NA;NA;NA;239;NA;239;NA;FALSE;FALSE;FALSE;"Painting";"Painting & Sculpture"
"55";"Untitled";"Cy Twombly";"(American, 1928-2011)";1928;2011;1;0;1;"Male";1969;1968;NA;NA;NA;172,8;NA;216;NA;FALSE;TRUE;FALSE;"Painting";"Painting & Sculpture"
"56";"Achrome";"Piero Manzoni";"(Italian, 1933-1963)";1933;1963;1;0;1;"Male";1999;1960;NA;NA;NA;41;NA;61;NA;FALSE;FALSE;FALSE;"Painting";"Painting & Sculpture"
"57";"Homestead";"Thomas Hart Benton";"(American, 1889-1975)";1889;1975;1;0;1;"Male";1938;1934;NA;NA;NA;63,5;NA;86,4;NA;FALSE;TRUE;TRUE;"Painting";"Painting & Sculpture"
"58";"Self-Portrait";"John Kane";"(American, born Scotland. 1860-1934)";1860;1934;1;0;1;"Male";1939;1929;NA;NA;NA;91,8;NA;68,9;NA;FALSE;FALSE;FALSE;"Painting";"Painting & Sculpture"
"59";"Departure";"Max Beckmann";"(German, 1884-1950)";1884;1950;1;0;1;"Male";1942;1932;NA;NA;NA;215,3;NA;115,3;NA;FALSE;FALSE;TRUE;"Painting";"Painting & Sculpture"
"60";"The New Rich";"Antonio Ruiz";"(Mexican, 1897-1964)";1897;1964;1;0;1;"Male";1943;1941;NA;NA;NA;32,1;NA;42,2;NA;FALSE;FALSE;FALSE;"Painting";"Painting & Sculpture"
"61";"The Angel Kidnappers";"Julio Castellanos";"(Mexican, 1905-1947)";1905;1947;1;0;1;"Male";1944;1943;NA;NA;NA;57,5;NA;94,9;NA;FALSE;FALSE;FALSE;"Painting";"Painting & Sculpture"
"62";"Execution (First Version)";"Balcomb Greene";"(American, 1904-1990)";1904;1990;1;0;1;"Male";1950;1948;NA;NA;NA;101,3;NA;75,9;NA;FALSE;FALSE;FALSE;"Painting";"Painting & Sculpture"
"63";"L'Estaque";"André Derain";"(French, 1880-1954)";1880;1954;1;0;1;"Male";1951;1906;NA;NA;NA;35,3;NA;45,1;NA;FALSE;FALSE;TRUE;"Painting";"Painting & Sculpture"
"64";"Blast, I";"Adolph Gottlieb";"(American, 1903-1974)";1903;1974;1;0;1;"Male";1958;1957;NA;NA;NA;228,7;NA;114,4;NA;FALSE;FALSE;FALSE;"Painting";"Painting & Sculpture"
"65";"First Theme";"Burgoyne Diller";"(American, 1906-1965)";1906;1965;1;0;1;"Male";1958;1942;NA;NA;NA;106,6;NA;106,6;NA;FALSE;TRUE;FALSE;"Painting";"Painting & Sculpture"
"66";"Shinnecock Canal";"Grace Hartigan";"(American, 1922-2008)";1922;2008;1;1;0;"Female";1960;1957;NA;NA;NA;229,8;NA;193;NA;FALSE;TRUE;FALSE;"Painting";"Painting & Sculpture"
"67";"Shimmering Substance";"Jackson Pollock";"(American, 1912-1956)";1912;1956;1;0;1;"Male";1968;1946;NA;NA;NA;76,3;NA;61,6;NA;FALSE;FALSE;FALSE;"Painting";"Painting & Sculpture"
"68";"Pettys Bright";"Larry Zox";"(American, 1936-2006)";1936;2006;1;0;1;"Male";1969;1968;NA;NA;NA;198,1;NA;364,6;NA;FALSE;TRUE;FALSE;"Painting";"Painting & Sculpture"
"69";"The Bride";"Hyman Bloom";"(American, born Latvia. 1913-2009)";1913;2009;1;0;1;"Male";1942;1941;NA;NA;NA;51,1;NA;126,7;NA;TRUE;FALSE;FALSE;"Painting";"Painting & Sculpture"
"70";"Still Life";"Henri Matisse";"(French, 1869-1954)";1869;1954;1;0;1;"Male";1949;1899;NA;NA;NA;46;NA;38,1;NA;FALSE;TRUE;FALSE;"Painting";"Painting & Sculpture"
"71";"Rainbow Rampage";"Lee Gatch";"(American, 1902-1968)";1902;1968;1;0;1;"Male";1951;1950;NA;NA;NA;71,1;NA;101,6;NA;FALSE;TRUE;FALSE;"Painting";"Painting & Sculpture"
"72";"Street Light";"Giacomo Balla";"(Italian, 1871-1958)";1871;1958;1;0;1;"Male";1954;1910;NA;NA;NA;174,7;NA;114,7;NA;FALSE;FALSE;FALSE;"Painting";"Painting & Sculpture"
"73";"Painting";"Philip Guston";"(American, born Canada. 1913-1980)";1913;1980;1;0;1;"Male";1956;1954;NA;NA;NA;160,6;NA;152,7;NA;FALSE;FALSE;FALSE;"Painting";"Painting & Sculpture"
"74";"Construction";"Richard Lindner";"(American, born Germany. 1901-1978)";1901;1978;1;0;1;"Male";1963;1962;NA;9,5;NA;29,9;NA;33;NA;FALSE;FALSE;FALSE;"Painting";"Painting & Sculpture"
"75";"The Mosque";"Ibrahim El-Salahi";"(Sudanese, born 1930)";1930;NA;1;0;1;"Male";1965;1964;NA;NA;NA;30,7;NA;46;NA;FALSE;FALSE;FALSE;"Painting";"Painting & Sculpture"
"76";"One: Number 31, 1950";"Jackson Pollock";"(American, 1912-1956)";1912;1956;1;0;1;"Male";1968;1950;NA;NA;NA;269,5;NA;530,8;NA;FALSE;FALSE;TRUE;"Painting";"Painting & Sculpture"
"77";"The Red Studio";"Henri Matisse";"(French, 1869-1954)";1869;1954;1;0;1;"Male";1949;1911;NA;NA;NA;181;NA;219,1;NA;FALSE;FALSE;FALSE;"Painting";"Painting & Sculpture"
"78";"Family Portrait, II";"Florine Stettheimer";"(American, 1871-1944)";1871;1944;1;1;0;"Female";1956;1933;NA;NA;NA;117,4;NA;164;NA;FALSE;TRUE;FALSE;"Painting";"Painting & Sculpture"
"79";"Target with Four Faces";"Jasper Johns";"(American, born 1930)";1930;NA;1;0;1;"Male";1958;1955;NA;NA;NA;66;NA;66;NA;FALSE;TRUE;FALSE;"Painting";"Painting & Sculpture"
"80";"Hudson River School Series, 32";"James Jarvaise";"(American, born 1925)";1925;NA;1;0;1;"Male";1960;1957;NA;NA;NA;152,5;NA;121,9;NA;FALSE;FALSE;FALSE;"Painting";"Painting & Sculpture"
"81";"The Yellow Star";"Carl-Henning Pedersen";"(Danish, 1913-1993)";1913;1993;1;0;1;"Male";1961;1952;NA;NA;NA;124;NA;102,8;NA;FALSE;TRUE;FALSE;"Painting";"Painting & Sculpture"
"82";"B-171";"Tadasky (Tadasuke Kuwayama)";"(American, born Japan 1935)";1935;NA;1;0;1;"Male";1965;1964;NA;NA;NA;38,4;NA;38,4;NA;FALSE;FALSE;FALSE;"Painting";"Painting & Sculpture"
"83";"Visa";"Stuart Davis";"(American, 1892-1964)";1892;1964;1;0;1;"Male";1953;1951;NA;NA;NA;101,6;NA;132,1;NA;FALSE;TRUE;FALSE;"Painting";"Painting & Sculpture"
"84";"Florida Bark";"Ida E. Fischer";"(American, born Austria.1883-1956)";1883;1956;1;1;0;"Female";1955;1951;NA;NA;NA;40,7;NA;30,5;NA;FALSE;TRUE;FALSE;"Painting";"Painting & Sculpture"
"85";"Aru 6";"Willi Baumeister";"(German, 1889-1955)";1889;1955;1;0;1;"Male";1956;1955;NA;NA;NA;129,9;NA;99,5;NA;FALSE;FALSE;FALSE;"Painting";"Painting & Sculpture"
"86";"Green Target";"Jasper Johns";"(American, born 1930)";1930;NA;1;0;1;"Male";1958;1955;NA;NA;NA;152,4;NA;152,4;NA;FALSE;FALSE;FALSE;"Painting";"Painting & Sculpture"
"87";"Laocoön";"Robert Goodnough";"(American, 1917-2010)";1917;2010;1;0;1;"Male";1959;1958;NA;NA;NA;168,4;NA;137,5;NA;FALSE;FALSE;FALSE;"Painting";"Painting & Sculpture"
"88";"Running White";"Ellsworth Kelly";"(American, 1923-2015)";1923;2015;1;0;1;"Male";1960;1959;NA;NA;NA;223,6;NA;172,2;NA;TRUE;FALSE;FALSE;"Painting";"Painting & Sculpture"
"89";"Number 1";"Max Schnitzler";"(American, born Poland. 1903-1999)";1903;1999;1;0;1;"Male";1961;1955;NA;NA;NA;167,3;NA;126,8;NA;FALSE;FALSE;FALSE;"Painting";"Painting & Sculpture"
"90";"Trouble in Frisco";"Fletcher Martin";"(American, 1904-1979)";1904;1979;1;0;1;"Male";1939;1938;NA;NA;NA;76,2;NA;91,4;NA;FALSE;FALSE;FALSE;"Painting";"Painting & Sculpture"
"91";"Ouro Preto: St. John's Eve";"Alberto da Veiga Guignard";"(Brazilian, 1895-1962)";1895;1962;1;0;1;"Male";1943;1942;NA;NA;NA;80;NA;60;NA;FALSE;FALSE;FALSE;"Painting";"Painting & Sculpture"
"92";"The Vision";"Theora Hamblett";"(American, 1895-1977)";1895;1977;1;1;0;"Female";1955;1954;NA;NA;NA;45,4;NA;121,9;NA;FALSE;TRUE;FALSE;"Painting";"Painting & Sculpture"
"93";"The Park";"Gustav Klimt";"(Austrian, 1862-1918)";1862;1918;1;0;1;"Male";1957;1910;NA;NA;NA;110,4;NA;110,4;NA;FALSE;FALSE;FALSE;"Painting";"Painting & Sculpture"
"94";"White Numbers";"Jasper Johns";"(American, born 1930)";1930;NA;1;0;1;"Male";1958;1957;NA;NA;NA;86,5;NA;71,3;NA;FALSE;FALSE;FALSE;"Painting";"Painting & Sculpture"
"95";"Seamstress";"Raphael Soyer";"(American, born Russia.1899-1987)";1899;1987;1;0;1;"Male";1961;1956;NA;NA;NA;76,2;NA;61,2;NA;FALSE;TRUE;FALSE;"Painting";"Painting & Sculpture"
"96";"South Truro Church";"Morris Kantor";"(American, born Russia. 1896-1974)";1896;1974;1;0;1;"Male";1936;1934;NA;NA;NA;61,3;NA;68,6;NA;FALSE;TRUE;TRUE;"Painting";"Painting & Sculpture"
"97";"Still Life I";"Joan Miró";"(Spanish, 1893-1983)";1893;1983;1;0;1;"Male";1939;1922;NA;NA;NA;37,8;NA;46;NA;TRUE;FALSE;FALSE;"Painting";"Painting & Sculpture"
"98";"River Bathers";"Grace Hartigan";"(American, 1922-2008)";1922;2008;1;1;0;"Female";1954;1953;NA;NA;NA;176,2;NA;225,5;NA;FALSE;FALSE;FALSE;"Painting";"Painting & Sculpture"
"99";"Exit the Ballets Russes";"Fernand Léger";"(French, 1881-1955)";1881;1955;1;0;1;"Male";1958;1914;NA;NA;NA;136,5;NA;100,3;NA;FALSE;TRUE;TRUE;"Painting";"Painting & Sculpture"
"100";"Still Life II";"Joan Miró";"(Spanish, 1893-1983)";1893;1983;1;0;1;"Male";1939;1922;NA;NA;NA;38,1;NA;45,7;NA;TRUE;FALSE;FALSE;"Painting";"Painting & Sculpture"
"101";"Three Children";"Arbit Blatas";"(American, born Lithuania. 1908-1999)";1908;1999;1;0;1;"Male";1940;1938;NA;NA;NA;99,7;NA;34,6;NA;FALSE;TRUE;FALSE;"Painting";"Painting & Sculpture"
"102";"Napoleon in the Wilderness";"Max Ernst";"(French and American, born Germany. 1891-1976)";1891;1976;1;0;1;"Male";1942;1941;NA;NA;NA;46,3;NA;38,1;NA;TRUE;FALSE;TRUE;"Painting";"Painting & Sculpture"
"103";"The Farm";"Rafael Moreno";"(Cuban, born Spain. 1887-1955)";1887;1955;1;0;1;"Male";1944;1943;NA;NA;NA;99,1;NA;198,4;NA;FALSE;FALSE;FALSE;"Painting";"Painting & Sculpture"
"104";"Tower and Tank";"Herman Rose";"(American, 1909-2007)";1909;2007;1;0;1;"Male";1949;1947;NA;NA;NA;38,1;NA;33;NA;TRUE;FALSE;FALSE;"Painting";"Painting & Sculpture"
"105";"Street, Dresden";"Ernst Ludwig Kirchner";"(German, 1880-1938)";1880;1938;1;0;1;"Male";1951;1908;NA;NA;NA;150,5;NA;200,4;NA;TRUE;FALSE;FALSE;"Painting";"Painting & Sculpture"
"106";"Pierrot";"Pablo Picasso";"(Spanish, 1881-1973)";1881;1973;1;0;1;"Male";1952;1918;NA;NA;NA;92,7;NA;73;NA;FALSE;FALSE;FALSE;"Painting";"Painting & Sculpture"
"107";"Woman with a Daffodil";"Lucian Freud";"(British, born Germany. 1922-2011)";1922;2011;1;0;1;"Male";1953;1945;NA;NA;NA;23,8;NA;14,3;NA;TRUE;FALSE;FALSE;"Painting";"Painting & Sculpture"
"108";"Rest in Air";"James McGarrell";"(American, born 1930)";1930;NA;1;0;1;"Male";1960;1958;NA;NA;NA;121,5;NA;151,4;NA;FALSE;FALSE;FALSE;"Painting";"Painting & Sculpture"
"109";"Reclining Nude";"Amedeo Modigliani";"(Italian, 1884-1920)";1884;1920;1;0;1;"Male";1950;1919;NA;NA;NA;72,4;NA;116,5;NA;FALSE;FALSE;FALSE;"Painting";"Painting & Sculpture"
"110";"Night Fishing at Antibes";"Pablo Picasso";"(Spanish, 1881-1973)";1881;1973;1;0;1;"Male";1952;1939;NA;NA;NA;205,8;NA;345,4;NA;FALSE;FALSE;FALSE;"Painting";"Painting & Sculpture"
"111";"Vocal Fabric of the Singer Rosa Silber";"Paul Klee";"(German, born Switzerland. 1879-1940)";1879;1940;1;0;1;"Male";1955;1922;NA;NA;NA;62,3;NA;52,1;NA;FALSE;TRUE;FALSE;"Painting";"Painting & Sculpture"
"112";"Gray Relief on Black";"Antoni Tàpies";"(Spanish, 1923-2012)";1923;2012;1;0;1;"Male";1961;1959;NA;NA;NA;194,6;NA;170;NA;FALSE;TRUE;FALSE;"Painting";"Painting & Sculpture"
"113";"Untitled";"Francis Alÿs";"(Belgian, born 1959)";1959;NA;1;0;1;"Male";1999;1994;NA;NA;NA;120,0152;NA;188,2779;NA;FALSE;TRUE;FALSE;"Painting";"Painting & Sculpture"
"114";"Apples in the Hay";"Walt Kuhn";"(American, 1877-1949)";1877;1949;1;0;1;"Male";1936;1932;NA;NA;NA;76,2;NA;101,6;NA;FALSE;FALSE;TRUE;"Painting";"Painting & Sculpture"
"115";"Composition in Oval with Color Planes 1";"Piet Mondrian";"(Dutch, 1872-1944)";1872;1944;1;0;1;"Male";1950;1914;NA;NA;NA;107,6;NA;78,8;NA;TRUE;FALSE;FALSE;"Painting";"Painting & Sculpture"
"116";"Port of Hamburg";"Oskar Kokoschka";"(Austrian, 1886-1980)";1886;1980;1;0;1;"Male";1956;1951;NA;NA;NA;90,8;NA;120,5;NA;FALSE;FALSE;FALSE;"Painting";"Painting & Sculpture"
"117";"Spook Tree";"Armando Morales Sequeira";"(Nicaraguan, 1927-2011)";1927;2011;1;0;1;"Male";1956;1956;NA;NA;NA;130;NA;57,9;NA;FALSE;FALSE;FALSE;"Painting";"Painting & Sculpture"
"118";"Painterly Architectonic";"Lyubov Popova";"(Russian, 1889-1924)";1889;1924;1;1;0;"Female";1958;1917;NA;NA;NA;80;NA;98;NA;FALSE;FALSE;FALSE;"Painting";"Painting & Sculpture"
"119";"Threatened Game";"Ger Lataster";"(Dutch, 1920-2012)";1920;2012;1;0;1;"Male";1959;1956;NA;NA;NA;121,9;NA;172,7;NA;FALSE;TRUE;FALSE;"Painting";"Painting & Sculpture"
"120";"Jake at the New Viet Huong";"Elizabeth Peyton";"(American, born 1965)";1965;NA;1;1;0;"Female";2000;1995;NA;NA;NA;40,6;NA;30,5;NA;FALSE;TRUE;FALSE;"Painting";"Painting & Sculpture"
"121";"The Artist's Mother";"Alberto Giacometti";"(Swiss, 1901-1966)";1901;1966;1;0;1;"Male";1953;1950;NA;NA;NA;89,9;NA;61;NA;FALSE;FALSE;TRUE;"Painting";"Painting & Sculpture"
